name,2023-12-14,2023-12-18,2024-01-16,2024-02-26,2024-03-24,2024-04-05,2024-07-03,2024-08-26,2024-09-17,2024-09-27,2024-10-21
mistral 7b,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
mixtral 8x7b,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
mistral small,,,,6.0,6.0,6.0,,3.0,3.0,3.0,
mistral medium,,,,8.1,8.1,8.1,,8.1,8.1,8.1,
mistral large,,,,24.0,24.0,24.0,,,,,
mistral-tiny,0.42,0.42,0.42,,,,,,,,
mistral-small,1.8,1.8,1.8,,,,,,,,
mistral-medium,7.5,7.5,7.5,,,,8.1,,,,
mistral 7b finetuned,,,,,,,0.75,0.75,,,
mixtral 8x22b,,,,,,,6.0,6.0,6.0,6.0,6.0
mistral small 2402,,,,,,,3.0,,,,
mistral small 2402 finetuned,,,,,,,7.5,,,,
mistral large 2402,,,,,,,12.0,,,,
codestral 22b,,,,,,,3.0,,,,
mistral nemo,,,,,,,,0.3,0.15,0.15,0.15
mistral large 2,,,,,,,,9.0,6.0,6.0,6.0
codestral 22B,,,,,,,,3.0,,,
mistral small finetuned,,,,,,,,7.5,3.0,3.0,
mistral nemo finetuned,,,,,,,,0.3,0.15,0.15,0.15
Codestral finetuned,,,,,,,,3.0,,,
Mistral Large 2407 finetuned,,,,,,,,9.0,,,
mistral large 2 finetuned,,,,,,,,,6.0,6.0,6.0
mistral small 24.09 finetuned,,,,,,,,,0.6,0.6,0.6
mistral small 24.09,,,,,,,,,0.6,0.6,0.6
codestral finetuned,,,,,,,,,0.6,0.6,0.6
codestral,,,,,,,,,0.6,0.6,0.6
ministral 3b 24.10,,,,,,,,,,,0.04
ministral 8b 24.10,,,,,,,,,,,0.1
