name,2024-01-31,2024-03-01,2024-03-26,2024-05-13,2024-06-08,2024-08-26,2024-09-27,2024-10-21
vanilla language model 7b,0.07,,,,,,,
vanilla language model 34b,0.35,,,,,,,
vanilla language model 70b,0.7,,,,,,,
sonar small online,,,,,,,,
sonar medium online,,,,,,,,
7b vanilla language model,,0.07,,,,,,
34b vanilla language model,,0.35,,,,,,
8x7b vanilla language model,,0.6,,,,,,
70b vanilla language model,,0.7,,,,,,
vanilla 7b parameters,,,0.2,,,,,
vanilla 8x7b models,,,0.6,,,,,
vanilla with 34b parameters,,,0.8,,,,,
vanilla with 70b parameters,,,1.0,,,,,
llama-3-sonar-small-32k-online,,,,0.2,0.2,,,
llama-3-sonar-large-32k-online,,,,1.0,1.0,,,
llama-3.1-sonar-small-128k-online,,,,,,0.2,0.2,0.2
llama-3.1-sonar-large-128k-online,,,,,,1.0,1.0,1.0
llama-3.1-sonar-huge-128k-online,,,,,,5.0,5.0,5.0
llama-3.1-sonar-small-128k-chat,,,,,,0.2,0.2,0.2
llama-3.1-sonar-large-128k-chat,,,,,,1.0,1.0,1.0
llama-3.1-8b-instruct,,,,,,0.2,0.2,0.2
llama-3.1-70b-instruct,,,,,,1.0,1.0,1.0
