name,id_name,2024-05-21,2024-07-03,2024-08-26,2024-09-27,2024-10-21
allam-1-13b-instruct,allam-unknown-unknown-1-unknown-13-unknown-instruct-false,,,,,
codellama-34b-instruct,codellama-unknown-unknown-unknown-unknown-34-unknown-instruct-false,,,,,
elyza-japanese-llama-2-7b-instruct,elyza-llama-japanese-2-unknown-7-unknown-instruct-false,,,,,
flan-t5-xl-3b,flan-t5-xl-unknown-unknown-3-unknown-unknown-false,,,,,
flan-t5-xxl-11b,flan-t5-xxl-unknown-unknown-11-unknown-unknown-false,,,,,
flan-ul2-20b,flan-ul2-unknown-unknown-unknown-20-unknown-unknown-false,,,,,
granite-guardian-3-2b,granite-guardian-unknown-3-unknown-2-unknown-unknown-false,,,,,
granite-guardian-3-8b,granite-guardian-unknown-3-unknown-8-unknown-unknown-false,,,,,
granite-8b-japanese,granite-unknown-japanese-unknown-unknown-8-unknown-unknown-false,,,,,
granite-7b-lab,granite-unknown-lab-unknown-unknown-7-unknown-unknown-false,,,,,
granite-20b-multilingual,granite-unknown-multilingual-unknown-unknown-20-unknown-unknown-false,,,,,
granite-3-2b-instruct,granite-unknown-unknown-3-unknown-2-unknown-instruct-false,,,,,
granite-3-8b-instruct,granite-unknown-unknown-3-unknown-8-unknown-instruct-false,,,,,
granite-20b-code-instruct,granite-unknown-unknown-unknown-20-unknown-unknown-instruct-false,,,,,
granite-3b-code-instruct,granite-unknown-unknown-unknown-3-unknown-unknown-instruct-false,,,,,
granite-34b-code-instruct,granite-unknown-unknown-unknown-34-unknown-unknown-instruct-false,,,,,
granite-8b-code-instruct,granite-unknown-unknown-unknown-8-unknown-unknown-instruct-false,,,,,
granite 13b chat,granite-unknown-unknown-unknown-unknown-13-unknown-chat-false,,,,,
granite 13b instruct,granite-unknown-unknown-unknown-unknown-13-unknown-instruct-false,,,,,
jais-13b-chat (arabic),jais-arabic-unknown-unknown-unknown-13-unknown-unknown-false,,,,,
llama2-13b-dpo-v7 (korean),llama-dpo-korean-7-unknown-13-unknown-unknown-false,,,,,
llama3-llava-next-8b-hf,llama-next-unknown-3-unknown-8-unknown-unknown-false,,,,,
llama-3-2-11b-vision-instruct,llama-unknown-instruct-3-unknown-11-unknown-2-unknown-false,,,,,
llama-3-2-90b-vision-instruct,llama-unknown-instruct-3-unknown-90-unknown-2-unknown-false,,,,,
llama-2-13b-chat,llama-unknown-unknown-2-unknown-13-unknown-unknown-false,,,,,
llama-2-70b-chat,llama-unknown-unknown-2-unknown-70-unknown-unknown-false,,,,,
llama-3-70b-instruct,llama-unknown-unknown-3-unknown-70-unknown-instruct-false,,,,,
llama-3-8b-instruct,llama-unknown-unknown-3-unknown-8-unknown-instruct-false,,,,,
llama-3.1-405b-instruct,llama-unknown-unknown-3.1-unknown-405-unknown-instruct-false,,,,,
llama-3-1-70b-instruct,llama-unknown-unknown-3.1-unknown-70-unknown-instruct-false,,,,,
llama-3-1-8b-instruct,llama-unknown-unknown-3.1-unknown-8-unknown-instruct-false,,,,,
llama-3-2-1b-instruct,llama-unknown-unknown-3.2-unknown-1-unknown-instruct-false,,,,,
llama-3-2-3b-instruct,llama-unknown-unknown-3.2-unknown-3-unknown-instruct-false,,,,,
merlinite-7b,merlinite-unknown-unknown-unknown-7-unknown-unknown-unknown-false,,,,,
mistral-large-2,mistral-large-unknown-2-unknown-unknown-unknown-unknown-false,,,,,
mixtral-8x7b-instruct,mixtral-unknown-unknown-unknown-unknown-8x7-unknown-instruct-false,,,,,
mt0-xxl-13b,mt0-xxl-unknown-unknown-unknown-13-unknown-unknown-false,,,,,
pixtral 12b,pixtral-unknown-unknown-unknown-12-unknown-unknown-false,,,,,
