name,2023-11-13,2023-07-14,2023-06-26,2024-07-03,2024-08-26,2024-10-21
CharGLM-3,,,,,,2.25
CodeGeeX-4,,,,,,0.015
Emohaa,,,,,,2.25
GLM-4-0520,,,,,,15.0
GLM-4-Air,,,,,,0.15
GLM-4-AirX,,,,,,1.5
GLM-4-Flash,,,,,,0.0
GLM-4-FlashX,,,,,,0.015
GLM-4-Long,,,,,,0.15
GLM-4-Plus,,,,,,7.5
characterglm,2.25,,,,,
charglm-3,,,,2.25,2.25,
chatglm-12b,,0.3,12.0,,,
chatglm-130b,,,,,,
chatglm-32b,,0.3,15.0,,,
chatglm-66b,,,,,,
chatglm-turbo,0.75,,9.0,,,
chatglm_turbo,,,,0.75,0.75,
emohaa,,,,2.25,2.25,
glm-130b,,,22.5,,,
glm-175b,,,30.0,,,
glm-3 Turbo,,,,39.75,39.75,
glm-4-0520,,,,15.0,15.0,
glm-4-air,,,10.5,0.15,0.15,
glm-4-airx,,,,1.5,1.5,
glm-4-alltools,,,15.0,15.0,15.0,
glm-4-flash,,,,0.015,0.015,
glm-4v,,,,7.5,7.5,
glm-6b,,,7.5,,,
